id,office_name,office_code,office_phone_number,city,country
1,Devpoint,0074-3015,188-377-5940,Jati,Indonesia
2,Dabfeed,43128-001,777-270-8073,Victoria Falls,Zimbabwe
3,Einti,24236-231,773-791-6181,Birqīn,Palestinian Territory
4,Livefish,45802-472,917-242-5594,New York City,United States
5,Tagopia,0135-0094,132-240-0266,Thāru Shāh,Pakistan
6,Browseblab,55316-214,991-968-1227,Sifangxi,China
7,Meedoo,51672-1279,951-368-9401,Nieying,China
8,Bluejam,59896-520,683-713-3484,Guay,Indonesia
9,Nlounge,16590-870,595-192-3899,Zhongdeng,China
10,Eidel,76280-232,551-698-0847,Minas de Matahambre,Cuba
11,Katz,62007-022,459-466-8521,Camagüey,Cuba
12,Minyx,52471-116,285-630-5138,Embu,Brazil
13,Wordpedia,53808-0687,160-358-7577,Mezhdurechensk,Russia
14,Tazzy,0573-0164,874-725-9108,Golopau,Indonesia
15,Bubblemix,76237-110,220-724-4443,Bích Động,Vietnam
16,Tagfeed,68788-0005,625-176-5606,Lengkongbarang,Indonesia
17,Kwimbee,43742-0188,215-326-5924,Uthai Thani,Thailand
18,Realfire,68180-589,575-559-7342,São Martinho do Campo,Portugal
19,Wikizz,57955-1801,341-701-5876,Kalipucang,Indonesia
20,Yozio,41163-647,575-608-6903,Ciudad Cortés,Costa Rica
21,Jaxworks,11344-318,161-260-8639,Geoktschai,Azerbaijan
22,Skaboo,0085-4352,396-152-8435,Solotcha,Russia
23,Blognation,0591-5553,637-281-9612,Anfu,China
24,Vidoo,0179-8702,717-461-3500,Groznyy,Russia
25,Skynoodle,41167-0093,385-358-7011,Lingbei,China
26,Tanoodle,63354-352,892-833-6034,Port Hawkesbury,Canada
27,Ntag,0603-2339,546-145-2767,Karpinsk,Russia
28,Yacero,76472-1140,694-987-6472,Constanza,Dominican Republic
29,Thoughtmix,24385-357,571-442-9911,Parksville,Canada
30,Fadeo,0069-2170,858-620-0425,Hefu,China
31,Avamm,49288-0491,737-693-1417,Dafang,China
32,Podcat,0187-0497,678-964-6739,Pingtan,China
33,Skyndu,63323-738,247-394-1750,Arevashogh,Armenia
34,Dynava,51060-063,797-689-6289,Gajah,Indonesia
35,Yoveo,49502-500,845-301-4492,Molinos,Peru
36,Photobug,52684-0026,560-798-9408,Francisco Villa,Mexico
37,Shufflebeat,57469-003,250-962-3623,Čížkovice,Czech Republic
38,Tagpad,55154-2099,634-680-9989,Nanxing,China
39,Brainlounge,76237-138,465-410-3897,Yong’an,China
40,Edgeify,36987-3163,134-480-3922,Zhongxin,China
41,Oyoba,49371-016,155-359-1151,Lyakhovtsy,Ukraine
42,Skiba,50383-043,249-112-9993,Bluefields,Jamaica
43,Fanoodle,36987-3099,277-416-5326,Catabola,Angola
44,Agimba,0220-9078,110-741-6595,Dahedian,China
45,Feedmix,41163-420,232-792-4104,Wenquan,China
46,Thoughtworks,59735-130,596-135-3658,Serere,Uganda
47,Voolia,66975-101,169-142-0084,Wotsogo,Indonesia
48,Realbuzz,54868-4414,443-319-5956,Saubara,Brazil
49,Blogtags,29336-324,245-471-6656,Daga,Bhutan
50,Youopia,0904-6186,106-420-3789,Verkhniye Osel’ki,Russia
51,Shuffledrive,52584-028,372-376-5683,Karlstad,Sweden
52,Podcat,0527-1368,582-765-6638,Aurora,Philippines
53,Quatz,21695-889,193-670-6760,Kuiyong,China
54,Tambee,55111-471,772-218-1824,Fenglin,China
55,Topdrive,65044-2075,443-900-7058,João Câmara,Brazil
56,Divanoodle,66949-900,683-745-2443,Shaxi,China
57,Roomm,49999-392,769-485-2008,Alta,Norway
58,Pixoboo,68084-542,934-752-6791,Huichang,China
59,Dabshots,54868-0062,662-136-4385,Ximapo,China
60,Divanoodle,36987-1219,697-430-7533,Gan Yavne,Israel
61,Realcube,65585-494,464-428-7997,Lac-Mégantic,Canada
62,Dynava,49884-746,416-799-5422,Mezhdurechensk,Russia
63,Muxo,43063-508,499-943-7638,Aguisan,Philippines
64,BlogXS,41250-167,697-723-2841,Agara,Georgia
65,Avaveo,98132-703,638-220-8370,Volnovakha,Ukraine
66,JumpXS,49349-677,780-430-6819,Cishangang,China
67,Abatz,49852-162,818-589-6107,Murów,Poland
68,Vipe,43063-468,427-447-0566,Oemollo,Indonesia
69,Realbuzz,37205-215,966-671-8335,Skien,Norway
70,Muxo,37205-628,438-689-5549,Sydney,Australia
71,Zoomlounge,52125-564,924-247-9929,Baluk,Indonesia
72,Yozio,53808-0200,699-454-0149,Mocoa,Colombia
73,Yombu,24794-107,840-341-1191,Jiedu,China
74,Quamba,21695-353,168-786-2327,Dauphin,Canada
75,Skimia,0904-5877,631-346-0983,Guantánamo,Cuba
76,Yacero,0268-6198,339-718-7988,Zongzhai,China
77,Brainbox,54868-6086,852-189-8602,Mölndal,Sweden
78,Latz,0268-0936,869-671-0422,Lagunillas,Mexico
79,Skynoodle,0409-7334,414-775-4495,Milwaukee,United States
80,Bluejam,63739-573,258-739-3603,Barbacena,Brazil
81,Meetz,0024-0337,981-865-5215,Arroyo Naranjo,Cuba
82,Twitterwire,65841-781,669-931-8784,Hutou,China
83,Yakitri,51209-004,674-736-4696,Bāft,Iran
84,Edgeclub,0378-5503,750-817-7594,Anggana,Indonesia
85,Bluezoom,0185-0649,535-152-3634,Trondheim,Norway
86,Flipstorm,49614-448,984-278-0760,Krajan,Indonesia
87,Ailane,23155-235,694-753-4434,Ban Huai Thalaeng,Thailand
88,Jaxworks,61957-2040,359-737-3779,Estela,Portugal
89,Realfire,0268-6149,753-487-1437,Haninge,Sweden
90,Flashset,41163-083,588-100-8288,Mons,Belgium
91,Trudeo,76067-100,342-206-2176,Shijiazhuang,China
92,Babbleset,50436-7054,213-354-4646,Cortes,Philippines
93,Browsezoom,13537-063,234-500-1593,Hongqi,China
94,Kare,43857-0234,852-939-4287,Dong’ao,China
95,Skimia,62756-350,718-462-6679,Komprachcice,Poland
96,Gabtype,65162-751,967-110-5919,Caibarién,Cuba
97,Gigaclub,0378-0315,312-858-8271,Tabonok,Philippines
98,Shufflester,43269-713,118-862-8571,Mulawato,Indonesia
99,Yata,33992-1202,410-583-4296,Gagnoa,Ivory Coast
100,Twinte,43269-766,412-447-3375,Rancho Nuevo,Mexico
101,Babbleset,41163-478,620-481-1974,Polyarnyy,Russia
102,Kaymbo,52125-050,337-110-4252,Salamá,Honduras
103,Flashset,16714-582,140-953-5681,Tandel,Luxembourg
104,Thoughtbeat,0037-0731,310-121-1457,Kota Kinabalu,Malaysia
105,Twitterworks,0378-0415,842-273-2533,Cireundang,Indonesia
